date,time,code,FORCE_POS_1,FORCE_POS_2
2025-01-09,07:37:36,302693.07/250109-073712,48.0,68.7
2025-01-09,07:37:41,302693.07/250109-073717,49.0,69.4
2025-01-09,07:39:59,302693.07/250109-073923,49.1,69.7
2025-01-11,08:02:55,302693.07/250111-080207,51.1,69.0
2025-01-11,08:03:35,302693.07/250111-080207,50.6,70.2
2025-01-11,08:03:41,302693.07/250111-080212,52.3,71.2
2025-01-11,08:22:14,302693.07/250111-082126,48.1,69.6
2025-01-11,08:36:03,302693.07/250111-083545,47.8,69.8
2025-01-11,08:37:39,302693.07/250111-083712,47.6,69.9
2025-01-11,08:55:34,302693.07/250111-085516,46.2,68.4
2025-01-11,08:58:21,302693.07/250111-085748,47.2,69.4
2025-01-11,09:06:59,302693.07/250111-090637,47.4,69.6
2025-01-11,09:25:53,302693.07/250111-092532,0.2,0.0
2025-01-11,09:51:21,302693.07/250111-095043,53.2,77.4
2025-01-11,09:52:00,302693.07/250111-095054,52.6,76.8
2025-01-11,09:52:05,302693.07/250111-095109,52.1,76.6
2025-01-11,09:52:10,302693.07/250111-095115,52.6,76.6
2025-01-11,09:53:54,302693.07/250111-095305,52.8,77.1
2025-01-11,09:54:24,302693.07/250111-095356,52.6,76.8
2025-01-11,09:54:28,302693.07/250111-095359,52.6,76.6
2025-01-11,09:54:59,302693.07/250111-095441,52.8,76.8
2025-01-11,09:55:04,302693.07/250111-095448,52.4,76.8
2025-01-11,09:55:15,302693.07/250111-095500,52.8,77.2
2025-01-11,10:08:23,302693.07/250111-100806,48.0,70.9
2025-01-11,10:16:27,302693.07/250111-101547,52.9,76.7
2025-01-11,10:16:58,302693.07/250111-101614,53.0,76.6
2025-01-11,10:17:35,302693.07/250111-101621,54.0,77.1
2025-01-11,10:21:02,302693.07/250111-102046,47.2,70.4
2025-01-11,10:21:53,302693.07/250111-102130,53.5,76.6
2025-01-11,10:22:08,302693.07/250111-102149,53.5,76.6
